1841,1962,1809
1817,1969,1809
1791,1974,1809
1767,1978,1809
1743,1980,1809
1716,1985,1807
1694,1991,1804
1668,1998,1799
1635,2000,1793
1603,2001,1785
1579,2000,1779
1560,2000,1768
1536,1998,1758
1517,1995,1753
1488,1985,1736
1451,1963,1714
1412,1932,1684
1372,1901,1656
1334,1876,1628
1302,1848,1598
1281,1827,1574
1264,1804,1549
1245,1764,1510
1225,1720,1479
1207,1685,1452
1194,1656,1423
1180,1626,1393
1167,1598,1364
1163,1568,1334
1170,1538,1319
1170,1505,1305
1160,1471,1277
1150,1434,1246
1148,1410,1232
1148,1392,1223
1148,1377,1214
1148,1350,1197
1150,1313,1171
1153,1272,1152
1159,1248,1146
1167,1233,1144
1178,1215,1144
1194,1189,1144
1216,1166,1144
1233,1133,1147
1237,1085,1170
1239,1037,1203
1259,994,1229
1294,959,1247
1331,942,1255
1372,934,1256
1413,935,1255
1454,935,1249
1497,936,1228
1535,945,1197
1561,963,1144
1568,979,1086
1568,980,1020
1566,981,956
1564,1005,892
1563,1050,825
1561,1104,759
1551,1161,703
1536,1218,652
1510,1279,607
1479,1330,578
1451,1369,563
1420,1394,560
1383,1410,562
1340,1413,564
1285,1413,569
1226,1414,578
1176,1414,592
1121,1418,606
1056,1424,621
967,1432,648
879,1434,704
817,1431,782
765,1424,878
709,1409,983
646,1372,1089
587,1333,1160
535,1282,1218
496,1222,1269
476,1153,1305
478,1077,1326
487,1006,1339
504,939,1356
534,868,1369
572,803,1380
617,731,1384
664,669,1384
722,618,1379
796,576,1365
896,536,1338
983,502,1316
1064,460,1289
1160,412,1248
1250,373,1224
1322,355,1207
1379,351,1173
1388,367,1158
1392,385,1140
1403,410,1105
1423,443,1040
1448,491,984
1472,569,937
1507,650,869
1561,741,785
1611,825,721
1652,906,662
1643,922,657
1639,934,639
1622,958,610
1587,1004,554
1550,1059,485
1514,1113,409
1475,1174,329
1441,1264,243
1417,1363,185
1400,1401,172
1399,1397,179
1416,1385,181
1433,1362,190
1415,1373,203
1414,1375,202
1411,1384,196
1407,1391,195
1405,1391,198
1389,1399,203
1368,1408,225
1340,1425,261
1298,1439,300
1255,1459,343
1217,1485,397
1185,1506,446
1149,1532,501
1101,1567,569
1053,1603,634
1004,1640,705
965,1676,779
946,1715,864
945,1728,936
943,1726,947
942,1726,947
942,1723,949
923,1703,975
865,1666,1045
771,1615,1130
693,1572,1187
630,1544,1236
568,1515,1281
500,1486,1320
466,1472,1329
457,1464,1331
449,1456,1335
450,1456,1335
455,1453,1335
476,1426,1333
490,1365,1333
483,1285,1333
473,1184,1333
471,1071,1337
473,977,1345
475,882,1361
485,802,1381
500,744,1400
527,696,1425
560,658,1451
591,634,1464
611,621,1472
614,615,1471
615,616,1468
641,604,1457
709,569,1431
802,511,1399
909,437,1360
1006,377,1324
1105,330,1297
1209,296,1271
1310,282,1251
1370,284,1245
1366,290,1245
1365,290,1245
1365,290,1242
1364,292,1239
1366,294,1228
1366,295,1220
1367,296,1211
1367,296,1171
1369,296,1117
1376,296,1045
1398,302,948
1422,333,848
1446,390,766
1484,471,676
1540,578,588
1604,714,511
1618,775,487
1612,776,490
1611,776,490
1599,789,477
1573,821,434
1534,880,363
1490,953,261
1449,1024,156
1416,1116,59
1391,1215,7
1365,1295,4294967264
1339,1347,4294967227
1336,1347,4294967228
1337,1346,4294967228
1336,1347,4294967229
1335,1347,4294967228
1338,1338,4294967248
1342,1339,4294967275
1340,1347,12
1337,1358,49
1325,1374,93
1300,1391,144
1266,1416,197
1226,1438,253
1174,1464,309
1108,1495,375
1031,1543,466
956,1598,569
889,1648,657
824,1696,743
808,1692,769
818,1688,769
845,1691,788
904,1712,842
989,1751,925
1065,1787,999
1130,1822,1076
1192,1858,1155
1259,1902,1253
1320,1952,1366
1363,1991,1454
1386,2018,1517
1396,2036,1571
1395,2042,1603
1392,2042,1621
1392,2042,1639
1389,2045,1658
1386,2045,1671
1386,2046,1682
1387,2046,1684
1392,2046,1684
1419,2048,1685
1429,2061,1703
1402,2079,1760
1373,2074,1795
1357,2063,1819
1340,2054,1866
1332,2049,1924
1348,2038,1925
1359,2011,1925
1374,1961,1925
1395,1893,1924
1410,1836,1924
1421,1797,1924
1431,1763,1924
1440,1726,1924
1445,1695,1924
1450,1674,1924
1455,1649,1924
1460,1627,1924
1466,1601,1924
1472,1578,1924
1478,1558,1924
1485,1540,1924
1491,1529,1924
1492,1527,1924
1505,1523,1924
1537,1518,1924
1582,1510,1924
1642,1497,1924
1696,1488,1925
1737,1479,1924
1782,1470,1924
1835,1458,1924
1887,1446,1924
1933,1436,1924
1977,1424,1924
2020,1412,1924
2035,1411,1924
2034,1413,1925
2034,1414,1924
